location,address,hours
Homer Plessy,"721 St. Philip St., New Orleans, LA 70116 ",9:00am – 12:00pm 
Beacon Light  International Baptist ,"1937 Mirabeau Ave, New Orleans, LA 70122 ",9:00am – 12:00pm 
Ben Franklin HS,"2001 Leon C Simon Dr, New Orleans, LA 70122 ",9:00am – 12:00pm 
Bethune ,"2401 Humanity St, New Orleans, LA 70122",9:00am – 12:00pm 
Coghill ,"4617 Mirabeau Ave., New Orleans, LA 70126 ",9:00am – 11:00am 
Foundation Prep ,"3121 St Bernard Ave, New Orleans, LA 70119 ",9:00am – 12:00pm 
John F. Kennedy ,"6026 Paris Ave, New Orleans, LA 70122 ",9:00am – 12:00pm 
Living Faith Church ,"4339 Eastern St, New Orleans, LA 70122 ",9:00am – 12:00pm 
NORD Commission (Milne Playground),"5420 Franklin Ave, New Orleans, LA 70122",9:00am – 12:00pm
Pierre A. Capdau ,"5800 St. Roch Ave, New Orleans, LA 70112 ",8:30am – 1:00pm 
 USPS Parking Lot (Old Prep Space),"2067 Caton St, New Orleans",9:00am - 12:00pm
Save-A-Lot Parking,"4726 Paris Ave, New Orleans, LA 70122 ",9:00am – 12:00pm 
ReNEW Sci Tech ,"820 Jackson Ave, New Orleans, LA 70130 ",9:00am – 12:00pm 
Martin Luther King ES,"1617 Caffin Ave, New Orleans, LA 70117 ",9:00am – 12:00pm 
Abramson Sci Academy,"5552 Read Blvd., New Orleans, LA 70127 ",9:00am – 12:00pm 
IDEA Oscar Dunn,"12000 Hayne Blvd, New Orleans, LA 70128 ",9:00am – 12:00pm 
KIPP Morial ,"7701 Grant St, New Orleans, LA 70126 ",9:00am – 12:00pm 
Livingston ,"7301 Dwyer Rd., New Orleans, LA 70126 ",9:00am – 12:00pm 
Mildred Osborne ,"6701 Curran Blvd., New Orleans, LA 70126 ",9:00am – 12:00pm 
ReNEW Dolores T. Aaron ,"10200 Curran Blvd, New Orleans, LA 70127 ",9:00am – 12:00pm 
Sarah T. Reed HS ,"5316 Michoud Blvd., New Orleans, LA 70129 ",9:30am – 12:00pm 
McDonogh 35,"4000 Cadillac St., New Orleans, 70122 ",9:00am – 12:00pm 
ENCORE ,"2518 Arts St., New Orleans, 70117 ",9:00am – 12:00pm 
Bricolage ,"2426 Esplanade Ave, New Orleans, LA 70119 ",9:00am – 11:00pm 
Firstline Wheatley ,"2300 Dumaine St, New Orleans, LA 70119 ",9:00am – 12:00pm 
Morris Jeff Community School ,"211 S Lopez St, New Orleans, LA 70119 ",10:00am – 12:00pm 
Audubon ,"428 Broadway St., New Orleans, LA 70118 ",9:00am – 11:00am 
Esperanza ,"4407 S Carrollton Ave, New Orleans, LA 70119 ",9:00am – 12:00pm 
Gert Town Natatorium,"3411 Broadway St, New Orleans, LA 70125",9:00am – 12:00pm 
KIPP Central City Academy,"2514 Third St., New Orleans, LA 70113 ",9:00am – 12:00pm 
Lafayette Academy Extension ,"3201 Live Oak St, New Orleans, LA 70118",9:00am – 12:00pm
Lusher ,"5624 Freret St, New Orleans, LA 70115 ",9:00am – 12:00pm 
Lycée Français,"1800 Monroe St., New Orleans, Louisiana 70118 ",10:00am – 12:00pm 
Norwood Thompson Playground ,"7200 Forshey St, New Orleans, LA 70125 ",9:00am – 12:00pm 
Rosenwald Recreation Center,"1120 S. Broad St, New Orleans, LA 70125 ",9:00am – 12:00pm 
Sophie B. Wright ,"1426 Napoleon Ave, New Orleans, LA 70115",9:00am – 12:00pm
Akili Academy ,"3811 N. Galvez St., New Orleans, LA 70117 ",9:00am – 12:00pm 
ARISE Academy ,"3819 St. Claude Ave., New Orleans, LA 70117 ",9:00am – 12:00pm 
G.W. Carver ,"3059 Higgins Blvd, New Orleans, LA 70126 ",9:00am – 12:00pm 
Alice Harte,"5300 Berkley Dr., New Orleans, LA 70131 ",9:00am – 12:00pm 
Harriet Tubman ,"2013 General Meyer, New Orleans, LA 70114 ",9:00am – 12:00pm 
Landry-Walker ,"1200 L B Landry Ave., New Orleans, LA 70114 ",9:00am – 12:00pm 
Paul Habans ,"3501 Siene St, New Orleans, LA 70114 ",9:00am – 12:00pm 
